# Academic/Career Success
# Career Success
# College/University Success
Art and Design	Kunst, Kunstwissenschaft
Design	Gestaltung
Film	Darstellende Kunst, Film und Fernsehen, Theaterwissenschaft
Music	Musik, Musikwissenschaft
Biological/Physical Sciences	Mathematik, Naturwissenschaften
Astronomy	Astrophysik und Astronomie
Biology	Studienbereich Biologie
Chemistry	Studienbereich Chemie
Physics	Physik
Business	Studienbereich Wirtschaftswissenschaften
Accounting	Studienbereich Wirtschaftswissenschaften
General Business	Studienbereich Wirtschaftswissenschaften
Business and Technology	Studienbereich Wirtschaftswissenschaften
Business Communications	Studienbereich Wirtschaftswissenschaften
Business Ethics	Studienbereich Wirtschaftswissenschaften
Commerce	Studienbereich Wirtschaftswissenschaften
Entrepreneurship	Studienbereich Wirtschaftswissenschaften
Finance	Studienbereich Wirtschaftswissenschaften
Human Resources and Organizational Behaviour	Studienbereich Wirtschaftswissenschaften
Management	Studienbereich Wirtschaftswissenschaften
Marketing	Studienbereich Wirtschaftswissenschaften
Non-Profits	Studienbereich Wirtschaftswissenschaften
Communication & Writing	Kommunikationswissenschaft/Publizistik
Writing	Kommunikationswissenschaft/Publizistik
#    Academic Writing
Communication	Kommunikationswissenschaft/Publizistik
Creative Writing	Kommunikationswissenschaft/Publizistik
Media	Medienwissenschaft
Professional Communication	Kommunikationswissenschaft/Publizistik
Technical Communication	Kommunikationswissenschaft/Publizistik
Computer Science	Studienbereich Informatik
Algorithms and Data Structures	Studienbereich Informatik
Computer Science - General	Studienbereich Informatik
Databases	Studienbereich Informatik
Systems	Studienbereich Informatik
Web Design	Studienbereich Informatik
Earth and Ocean Sciences	Geowissenschaften (ohne Geographie)
Environment	Geowissenschaften (ohne Geographie)
Forestry	Forstwissenschaft, -wirtschaft
Geography and GIS	Geographie
Geology	Geologie/Paläontologie
Meteorology	Meteorologie
Ocean Studies	Ozeanographie
Education	Erziehungswissenschaften
Digital Education	Erziehungswissenschaften
Diversity, Equity, and Inclusion	Erziehungswissenschaften
Early Childhood Education	Erziehungswissenschaften
Indigenization	Erziehungswissenschaften
Open Pedagogy	Erziehungswissenschaften
Engineering	Ingenieurwissenschaften
Electrical Engineering	Elektrotechnik/Elektronik
Engineering - General	Ingenieurwesen allgemein
Mechanical Engineering	Mechatronik
Health and Medical	Humanmedizin/Gesundheitswissenschaften
Dentistry	Zahnmedizin
Health/Medical - General	Medizin (Allgemein-Medizin)
Health/Medical Technology	Gesundheitstechnik
Nursing	Nichtärztliche Heilberufe/Therapien
Nutrition/Dietary	Ernährungswissenschaft
Pharmacy/Pharmacology	Studienbereich Pharmazie
Support/Caregiving	Pflegewissenschaft/-management
Hospitality/Tourism	Tourismuswirtschaft
Hospitality/Tourism - General	Tourismuswirtschaft
Humanities	Geisteswissenschaften
English	Anglistik, Amerikanistik
Gender and Sexuality	Sozialwissenschaften/Soziologie
History	Studienbereich Geschichte
Linguistics	Allgemeine und vergleichende Literatur- und Sprachwissenschaft
Philosophy	Studienbereich Philosophie
Spanish Literature	Spanisch
# Language Learning
Arabic Language	Arabisch/Arabistik
Cree Language	Sonstige Sprach- und Kulturwissenschaften
English Language	Anglistik, Amerikanistik
French Language	Französisch
Korean Language	Sinologie/Koreanistik
Punjabi Language	Indologie
Law and Criminal Justice	Rechtswissenschaften
International Law	Rechtswissenschaften
Law Enforcement	Polizei/Verfassungsschutz
Math & Stats	Mathematik
Algebra	Mathematik
Calculus	Mathematik
General Math	Mathematik
Statistics	Statistik
Social Sciences	Sozialwissenschaften/Soziologie
Anthropology	Sozialwissenschaften/Soziologie
Economics	Studienbereich Wirtschaftswissenschaften
Labour	Studienbereich Wirtschaftswissenschaften
Political Science	Politikwissenschaft
Psychology	Studienbereich Psychologie
Social Work	Soziale Arbeit
Sociology	Soziologie
# Support Resources
#    Create/Adapt OER
#    Directories
#    Open Education - General
#    Use OER
# Trades
#    Electrical
#    Plumbing
Professional Cook	Haushalts- und Ernährungswissenschaft
#    Trades - General
