discipline	Toutes les disciplines
discipline:1043	Sciences fondamentales et appliquées	https://w3id.org/kim/hochschulfaechersystematik/n4
discipline:1043:1005	Sciences de la Terre	https://w3id.org/kim/hochschulfaechersystematik/n43
discipline:1043:1005:1007	Atmosphère, climatologie, météorologie	https://w3id.org/kim/hochschulfaechersystematik/n110
discipline:1043:1005:1089	Géographie, cartographie	https://w3id.org/kim/hochschulfaechersystematik/n44
discipline:1043:1005:1091	Géologie	https://w3id.org/kim/hochschulfaechersystematik/n065
discipline:1043:1005:1095	Géophysique, géochimie (structure, composition, évolution)	https://w3id.org/kim/hochschulfaechersystematik/n066
discipline:1043:1005:1097	Glaciologie, étude de la neige et des avalanches	https://w3id.org/kim/hochschulfaechersystematik/n039
discipline:1043:1005:1141	Origine et histoire de la Terre et de la vie (paléontologie, palynologie)	https://w3id.org/kim/hochschulfaechersystematik/n065
discipline:1043:1005:1185	Sciences des sols, pédologie	https://w3id.org/kim/hochschulfaechersystematik/n065
discipline:1043:1005:237194	Océanologie, océanographie	https://w3id.org/kim/hochschulfaechersystematik/n124
discipline:1043:1009	Physique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1011	Atomes, noyaux et particules	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1071	Electricité et électrotechnique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1073	Electronique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1085	Génie civil, génie urbain, aménagement	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1111	Magnétisme, électromagnétisme	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1113	Matériaux	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1117	Mécanique appliquée	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1119	Mécanique des fluides	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1121	Mécanique des solides	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1129	Modélisation et simulation	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1139	Optique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1143	Oscillations, ondes, acoustique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1159	Physique classique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1165	Physique moderne	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1167	Physique théorique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1191	Théories quantique et relativiste	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1193	Thermodynamique, énergétique	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1009:1197	Traitement du signal et des images, télécommunications	https://w3id.org/kim/hochschulfaechersystematik/n0128
discipline:1043:1017	Chimie	https://w3id.org/kim/hochschulfaechersystematik/n40
discipline:1043:1017:1019	Biochimie	https://w3id.org/kim/hochschulfaechersystematik/n025
discipline:1043:1017:1045	Chimie analytique, catalyse	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1047	Chimie durable, chimie verte	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1049	Chimie et société	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1051	Chimie industrielle, génie des procédés	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1053	Chimie minérale et inorganique	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1055	Chimie moléculaire et organique	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1057	Chimie physique	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1059	Chimie théorique	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1065	Cristallographie	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1017:1169	Polymères	https://w3id.org/kim/hochschulfaechersystematik/n032
discipline:1043:1125	Métiers et formations en sciences fondamentales	https://w3id.org/kim/hochschulfaechersystematik/n4
discipline:1043:1183	Science et science-fiction	https://w3id.org/kim/hochschulfaechersystematik/n4
discipline:1043:977	Sciences de la vie
discipline:1043:977:1025	Biologie animale	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1027	Biologie cellulaire	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1029	Biologie moléculaire	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1031	Biochimie	https://w3id.org/kim/hochschulfaechersystematik/n025
discipline:1043:977:1033	Biologie végétale	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1035	Biotechnologies	https://w3id.org/kim/hochschulfaechersystematik/n282
discipline:1043:977:1067	Développement de l'organisme	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1075	Evolution	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1083	Génétique	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1127	Microbiologie	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1135	Neurosciences	https://w3id.org/kim/hochschulfaechersystematik/n026
discipline:1043:977:1137	Nutrition	https://w3id.org/kim/hochschulfaechersystematik/n009
discipline:1043:977:1179	Reproduction	https://w3id.org/kim/hochschulfaechersystematik/n009
discipline:1043:977:1199	Virologie	https://w3id.org/kim/hochschulfaechersystematik/n300
discipline:1043:977:979	Agronomie, agriculture, élevage	https://w3id.org/kim/hochschulfaechersystematik/n138
discipline:1043:981:1081	Généralités	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:1093	Géométrie	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:1109	Logique et raisonnements	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:1115	Mathématiques et informatique	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:1171	Probabilités et statistiques	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:1195	Topologie	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:983	Algèbre	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:985	Analyse	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:981:995	Arithmétique	https://w3id.org/kim/hochschulfaechersystematik/n37
discipline:1043:991	Informatique	https://w3id.org/kim/hochschulfaechersystematik/n71
discipline:1043:991:1013	Bases de données	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1015	Bio-informatique	https://w3id.org/kim/hochschulfaechersystematik/n221
discipline:1043:991:1037	Bureautique	https://w3id.org/kim/hochschulfaechersystematik/n277
discipline:1043:991:1079	Formation et apprentissage en ligne	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1087	Génie logiciel	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1103	Informatique documentaire	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1105	Informatique théorique	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1107	Intelligence artificielle	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1131	Multimédia (infographie, outils et techniques de programmation, synthèse vocale)	https://w3id.org/kim/hochschulfaechersystematik/n121
discipline:1043:991:1173	Programmation et modélisation	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1177	Réalité virtuelle, retour d'effort (haptique)	https://w3id.org/kim/hochschulfaechersystematik/n079
discipline:1043:991:1181	Réseaux, transports et sécurité des données	https://w3id.org/kim/hochschulfaechersystematik/n123
discipline:1043:991:1187	Systèmes d'information	https://w3id.org/kim/hochschulfaechersystematik/n079
