Accounting	Studienbereich Wirtschaftswissenschaften
Administrative Law	Rechtswissenschaft
Algebra	Mathematik
Analysis	Mathematik
Anatomy	Humanmedizin (ohne Zahnmedizin)
Anthropology	Sozialwissenschaften
Applied mathematics	Mathematik
Archeology	Archäologie
Artificial Intelligence	Computer- und Kommunikationstechniken
Arts	Kunst, Kunstwissenschaft
Biology	Studienbereich Biologie
Business	Studienbereich Wirtschaftswissenschaften
Calculus	Mathematik
Chemical Engineering	Chemie-Ingenieurwesen/Chemietechnik
Chemistry	Studienbereich Chemie
Civil Engineering	Bauingenieurwesen
Civil Law	Rechtswissenschaften
Clinical Physiology	Studienbereich Psychologie
Communication	Kommunikationswissenschaft/Publizistik
Computer Science	Computer- und Kommunikationstechniken
Constitutional Law	Rechtswissenschaften
Contract Law	Rechtswissenschaften
Criminal Law	Rechtswissenschaften
Cryptography	Computer- und Kommunikationstechniken
Cultural and Ethnic Studies	Sozialwissenschaften
Databases	Computer- und Kommunikationstechniken
Distance Education	Erziehungswissenschaften
Early Childhood	Erziehungswissenschaften
Earth Sciences	Geowissenschaften (ohne Geographie)
Economics	Studienbereich Wirtschaftswissenschaften
Education	Erziehungswissenschaften
Education, Elementary	Erziehungswissenschaften
Education, Higher	Erziehungswissenschaften
Education, Secondary	Erziehungswissenschaften
Electrical Engineering	Elektrotechnik/Elektronik
Engineering	Ingenieurwissenschaften
Entrepreneurship	Studienbereich Wirtschaftswissenschaften
Finance	Studienbereich Wirtschaftswissenschaften
Gender and Sexuality Studies	Sozialwissenschaften
Geography	Geographie
Geometry and Trigonometry	Mathematik
History	Studienbereich Geschichte
Humanities	Geisteswissenschaften
Information technology	Kommunikations- und Informationstechnik
Intercultural Communciation	Kommunikationswissenschaft/Publizistik
Language and languages	Allgemeine und vergleichende Literatur- und Sprachwissenschaft
Law	Rechtswissenschaften
Linguistics	Allgemeine und vergleichende Literatur- und Sprachwissenschaft
Management	Studienbereich Wirtschaftswissenschaften
Marketing	Studienbereich Wirtschaftswissenschaften
Materials Science	Materialwissenschaft
Mathematics	Mathematik
Mechanical Engineering	Mechatronik
Medicine	Humanmedizin (ohne Zahnmedizin)
New Media Journalism	Kommunikationswissenschaft/Publizistik
Nursing	Pflegewissenschaft/-management
Nutrition	Ernährungs- und Haushaltswissenschaften
Organizational Communication	Kommunikationswissenschaft/Publizistik
Personnel management	Studienbereich Wirtschaftswissenschaften
Pharmacology	Studienbereich Pharmazie
Philosophy	Studienbereich Philosophie
Physics	Physik
Political Science	Politikwissenschaften
Print Journalism	Kommunikationswissenschaft/Publizistik
Procedural Law	Rechtswissenschaft
Programming Languages	Computer- und Kommunikationstechniken
Property Law	Rechtswissenschaft
Psychology	Studienbereich Psychologie
Public Health	Gesundheitswissenschaften allgemein
Religion	Religionswissenschaft
Rhetoric	Kommunikationswissenschaft/Publizistik
Science	Mathematik, Naturwissenschaften
Social sciences	Sozialwissenschaften
Sociology	Sozialwissenschaften
Statistics	Mathematik
Veterinary Medicine	Veterinärmedizin
